src,dst
1224,46546
1260,39787
7619,12667
24063,29177
19827,32419
23502,31584
3241,18455
9966,33729
10315,33883
8588,28744
1242,2240
4380,9868
17402,26161
5516,31535
26713,47796
27769,43870
3420,30471
11209,24711
24925,38217
186,38596
13265,49007
6436,8500
2266,22161
4436,14314
25105,33839
40445,45189
10405,13023
35343,49448
8758,43276
29981,47926
38293,44193
849,24014
35458,46173
513,41034
4986,7934
22511,23049
18496,40031
13287,23290
5607,45959
27031,49367
3611,42847
5263,33317
9468,34926
12989,46456
31403,38092
12236,30943
24274,46342
18296,24135
1080,9775
24399,38120
28561,43819
4535,22937
27142,46350
1495,47143
12313,23434
1891,27895
19165,45643
28461,36418
15739,30940
36771,43192
10549,41768
20312,24839
538,11828
2716,21592
11719,32494
8132,29012
12621,24718
18661,41387
19688,38221
28800,32851
6212,34755
6516,41582
16077,40734
7418,27390
26034,39886
4650,7961
573,34645
27708,34087
13854,31227
15822,33045
12427,43319
21109,38365
8982,40644
17033,32440
3742,18174
1066,31545
29471,32497
1022,7861
7044,40920
18304,26224
31502,31631
31536,37631
29882,49744
12199,24621
30018,43189
45293,46974
13808,15017
1616,5567
26487,47186
12321,13472
47612,49049
8341,14425
3734,32993
1822,9607
20593,23172
5512,45267
27394,49553
22925,26206
24544,27870
39214,49975
10962,45855
35195,40420
9547,25527
20283,28581
7686,38293
20688,49046
4774,22148
5437,42649
46085,47324
1548,1841
5282,26496
37280,46960
7512,19454
2094,21033
13394,32531
12374,48165
10749,17639
4185,14556
21172,22448
5379,46027
10872,32756
11497,44859
12619,39301
11748,46390
9009,32617
5888,30628
20741,46024
22071,23419
3436,49342
36984,43784
28916,42959
23187,24462
16690,45232
31957,37822
1992,13909
26516,38451
4700,48748
5421,38682
6155,16046
33017,47601
17271,24983
12012,37172
3351,23755
8484,41440
23931,44743
16051,31137
13528,47756
8663,24409
26097,26574
22246,25463
17508,21139
17815,41069
2963,13443
15165,17165
9347,34086
9935,24430
32840,47308
2180,21850
12357,16804
2390,10548
8492,28095
16685,33530
15817,47306
11084,43326
16055,33134
18088,46681
12043,19088
43141,47401
16725,42728
10777,48279
32126,39270
7074,41404
4718,9676
8548,34793
28262,34167
33086,38265
10111,49357
35312,46565
1548,32311
17331,17813
19413,43330
8662,26412
11465,19232
35096,38804
10384,18375
10713,17153
23026,35201
7893,32997
6497,37986
10328,49742
27469,32437
32565,41195
34877,46987
18902,28481
18087,34721
40101,45542
20423,45825
11266,40872
13887,47419
17112,35044
16302,23161
8093,17193
12517,47213
3028,39047
14560,26759
1768,48835
23064,30366
2915,5400
16652,40132
15832,23397
48921,49570
1987,5539
24112,44292
20943,30935
9729,19211
26489,44817
30187,32100
27907,34891
5619,23501
5469,26940
8894,38008
10038,42597
16953,34583
12816,43466
5494,28690
7079,49237
15385,29474
18498,49315
5648,19708
2937,42692
21953,33430
4587,39505
27374,41194
5582,14924
21479,43373
10720,45785
6501,10535
33818,49810
6727,22367
14878,47578
18951,23404
30732,41591
29908,44362
25395,38436
4014,23778
23005,35397
1405,27791
12633,39975
17586,43921
5215,5489
17361,22111
31470,42459
15244,26586
307,42044
35420,42795
2456,29156
33354,34026
39802,46548
31180,42131
15372,18635
13056,25933
20746,39415
34260,49754
43491,45796
41075,43788
7175,31925
9733,47572
24920,49258
38306,44136
28375,39789
1868,5981
13650,39854
6774,47796
7170,41380
3740,17136
23817,27704
7068,41103
2683,21591
10621,38585
25614,26442
19046,32285
2177,3703
18456,22620
3833,10130
29637,32706
35734,37077
4376,7147
30685,46632
