src,dst
2212,2327
756,2347
2576,3543
1242,2240
2088,3954
500,1603
481,3081
1015,2234
1041,1203
1266,3765
1985,3452
741,1665
1603,3158
1918,2230
1754,3327
2576,3893
704,1783
262,1438
1574,1639
2289,3082
1503,2927
1537,1757
2029,2219
219,987
3020,3560
1000,1552
3023,3077
2278,2923
96,2085
137,2840
851,1429
119,756
124,1100
561,1855
1738,2420
1175,3246
1904,3621
1959,3328
493,2660
2107,3980
1654,2692
255,4000
675,2142
1172,2948
1490,1537
56,3790
734,2722
2676,3319
429,2086
3605,3782
243,3616
2579,3386
1457,2528
1051,1840
762,1737
2329,2457
1202,1255
1324,2938
45,2096
2789,3381
764,1783
664,3831
2307,3637
1130,3072
734,3072
1159,1558
321,459
885,3241
1351,1728
528,1691
223,1055
1339,3596
90,1465
814,1496
809,1152
282,1635
409,3662
1429,3489
964,1440
1523,3124
3039,3155
93,2113
1172,2143
1213,2144
1832,3879
244,2282
2202,3412
2319,3997
2795,3926
1551,2139
486,1815
546,1866
2392,2755
202,2056
1922,3772
2168,3047
1266,2155
894,2549
328,3858
2503,3525
2167,3576
47,2118
3526,3623
685,870
1686,3653
679,1055
1401,3669
30,609
1212,1518
501,1692
1805,2032
740,1708
313,2395
1576,1980
1054,3561
1763,1806
3736,3968
1950,3884
732,1066
2385,3812
3293,3398
3009,3639
1770,2196
118,3058
395,1646
1355,3674
1850,3653
3063,3875
236,835
1201,3207
485,3791
2417,2946
289,3879
1109,3618
2284,3356
1692,3444
2812,3475
2091,3715
3057,3279
913,2925
13,948
2676,3587
2376,3295
3147,3172
2467,3413
1500,3624
1555,3331
1644,2622
3602,3752
1582,1744
3854,3973
2109,3890
304,3756
1804,4008
1773,2443
887,3582
3319,3814
3314,3470
2517,3126
1674,1683
2001,3798
1204,2700
359,1184
856,1236
258,728
1591,1806
2465,2562
2931,3301
3712,3866
1410,2926
384,2530
2676,2782
30,2032
1433,3849
1428,3505
1681,1699
2240,3383
94,2956
2386,2454
3120,3173
2456,3947
1768,3573
1685,1818
462,908
959,1714
3039,3773
1893,2521
776,2761
3291,3994
2697,4009
364,1504
854,1139
2102,3045
2498,3799
3967,3984
1699,1874
849,3424
1969,3455
267,790
831,2818
3570,3759
1760,3281
253,2612
1481,3866
222,1047
454,616
2096,2449
1473,3224
1163,2244
70,626
1090,2705
2298,2583
400,2258
429,744
150,1329
626,1258
1027,2356
1899,2285
1297,3937
268,3270
206,2392
1326,2423
3234,3436
964,1253
1919,2937
88,3834
1645,3866
1390,3347
306,2973
2601,2742
3095,3250
1815,2183
2653,3282
2663,3970
2809,3795
2747,2917
221,2269
1434,2491
3397,3965
1093,2198
373,3040
2126,3738
2461,3462
126,130
2992,3098
318,2552
1932,3872
2209,2460
60,1762
901,2378
156,2224
896,2034
247,3840
742,1567
3202,3847
585,3835
2288,3692
1644,3590
517,2388
1288,2265
3600,3893
2535,3569
978,1285
3011,3498
143,3867
368,2265
1824,2245
1077,1264
3097,3272
165,1936
1629,1777
3841,3955
1979,2533
386,592
604,1983
1094,1618
349,710
2931,3919
1,3410
2561,2888
2468,2697
1931,2492
1874,1958
3204,3519
468,2095
1412,3590
347,3266
1392,2214
774,3333
259,1167
428,2696
1558,3415
751,1629
1253,2779
56,838
248,1008
810,2209
2768,3339
1765,3893
1734,2328
669,2004
149,248
1702,3544
3264,3920
1072,3148
3162,3643
1670,4006
863,2220
359,997
1689,1804
1162,3041
502,3934
1157,1162
2874,3361
2345,3771
1497,1984
31,1316
1744,1861
226,1003
56,3066
1279,3976
369,1311
649,3580
1805,3268
1746,1907
1550,1995
3071,3124
844,3267
268,3888
1081,2456
401,2697
927,1989
705,3862
1114,1815
2788,3186
2382,2498
1191,3755
397,2928
1264,2513
1381,3098
2878,3079
2414,3884
938,2528
1156,3919
2713,3951
1684,4038
2310,2780
906,2990
166,3180
221,2887
470,3591
1523,2400
776,1419
1183,2709
2795,3202
343,1537
120,3185
185,1328
2421,3900
1232,1820
2908,4018
984,1718
1364,1939
982,1645
579,3884
2418,3602
388,906
1542,3931
45,3950
3157,3941
2360,2843
2128,3274
2565,4029
2909,3839
977,3930
2604,3203
2221,3438
3835,4004
2367,2509
156,1687
2585,3900
1095,2838
1432,2231
1251,3351
2056,2058
2811,3654
2176,2914
803,2437
2769,3428
183,2729
214,2042
897,2072
162,1852
1029,1437
647,1143
562,2725
1117,1257
838,1842
107,640
1798,3870
332,3202
1113,3767
304,1154
853,2150
2475,3331
2079,3331
2227,3229
1144,2299
2094,3639
1199,2006
8,3263
1697,3414
128,1867
164,1524
3304,3563
635,3361
1435,1724
817,2843
748,794
1066,3547
1600,2700
1368,3885
2178,2936
128,2217
742,3608
62,3849
52,3161
831,2899
2536,3583
963,3018
2422,2515
1171,2967
2301,3686
1606,2895
114,1006
1326,4009
2785,3506
796,811
1725,3526
457,1345
2936,3675
1573,3886
208,4024
912,1925
165,944
161,3454
1260,2608
1031,2556
1905,3312
167,236
69,3865
723,1622
413,642
241,1878
1581,3373
270,364
144,1945
995,997
1669,3193
2887,3759
1302,1679
15,2474
1384,3209
3574,3908
1105,3794
365,3984
986,2382
1129,2690
2598,2875
1003,3517
357,3342
2755,3990
112,2757
1220,1273
1497,4025
166,2993
1286,3024
2160,3780
2559,3297
1098,3727
1463,2162
3095,4031
1213,1233
1304,1351
1314,2039
691,2814
973,1746
1116,1300
1188,3620
1055,3276
597,2398
1242,3102
1175,1880
774,1536
1677,3030
2422,3938
2473,3903
2512,3831
1041,2065
984,1531
146,1186
22,2840
2720,3780
1171,1357
603,2593
1449,3553
1814,1988
415,2542
790,1665
800,3107
2498,2620
1821,2378
1692,3688
229,3291
346,3876
2505,3010
3458,3867
1968,2805
471,2824
507,2481
450,1947
2035,4027
156,1500
1432,2044
2712,3488
972,3749
900,2183
1741,2799
490,4005
1553,3502
436,736
558,2419
680,3348
60,1388
583,3415
182,3071
1455,3344
1799,3908
1109,2707
990,1295
2817,2908
864,2876
859,2532
1791,2512
3014,3422
2045,3560
426,2650
2764,3247
2912,3145
1439,2060
1222,3523
3159,3776
2037,2918
724,3246
139,341
657,1270
2167,2210
1930,2297
2091,3154
2471,2621
914,2589
1846,2569
1223,3344
1252,2584
634,3703
629,3359
2337,3560
403,572
3610,3833
2051,2974
2574,2749
1238,1373
305,3420
217,1321
1307,2641
669,1630
963,2831
486,2677
699,3724
513,1090
1853,2585
208,454
478,2035
240,2621
460,675
730,2256
3433,3540
3073,3197
3906,3952
3336,3607
2747,3966
880,2200
1408,2319
2153,3227
255,2902
164,532
2744,2914
41,1630
1252,1779
756,3827
849,4018
2024,3756
2743,3443
2748,3787
1526,3479
2018,3941
774,2154
953,3617
2401,3679
861,4028
3231,3382
640,2339
1801,2371
1176,2319
1947,2196
3874,4013
2733,3105
18,306
3290,3962
1764,3243
1012,1164
511,3622
886,2745
1163,1333
1574,3119
2061,2483
1701,2140
3968,4025
1659,1914
2653,3526
1161,3889
1197,3546
1125,1980
2406,2868
1095,3269
3584,4035
2519,3711
342,3971
256,2699
679,1112
126,374
2703,3239
1214,1621
3695,4024
1336,2550
1919,2376
2072,3372
174,2293
296,3976
831,1102
1543,3028
1384,2217
207,1652
1480,2679
1597,3264
1072,1164
1194,2093
2133,3998
1976,3260
195,3520
1320,3895
2815,3049
2226,3408
533,3515
2312,2428
2809,3234
3590,3799
999,2756
33,2411
814,2976
2123,2906
3,3700
1113,3043
2620,3712
3050,3296
524,2648
279,2817
3794,3979
272,1646
714,1991
2770,3656
578,2884
896,1473
672,2519
3509,3995
2325,3013
16,902
957,2880
3202,3286
236,3120
82,2653
1761,3614
3256,3522
699,1309
912,2356
1287,1479
2007,4020
99,3007
3557,3635
128,1493
904,1714
1005,1766
788,3983
2674,2793
72,1561
2931,3358
1749,2449
775,2243
881,3393
2925,3543
1686,2100
910,1879
559,898
2339,2665
1331,3629
1177,3162
831,2525
764,1303
1020,3178
741,3763
457,4004
211,565
1104,1371
3413,3482
2168,3722
1892,2326
1675,3789
2542,3374
2222,3958
954,1777
888,3409
1776,3871
2190,2922
1687,3799
2377,2748
823,1479
1028,2665
1752,2696
1695,2162
2151,2213
687,2372
163,3126
34,272
259,2834
1087,3245
1025,2367
1804,2105
1561,2347
959,3999
3672,3719
998,3173
535,1951
337,1212
920,1038
424,3840
1076,1551
1862,2460
558,622
174,2911
1182,2701
1664,2475
2981,3020
395,2321
2733,2918
2454,3503
1074,1855
850,2901
1225,2024
11,2331
2867,3857
2409,2979
1070,2086
1008,1208
2369,3580
323,351
1187,2671
1125,1793
2213,2286
1905,2133
12,2152
2087,3867
2553,3108
1209,3369
2647,2743
66,2388
157,1752
1451,3656
659,2902
530,802
872,3949
612,2332
997,2897
364,2984
639,745
83,2742
1172,1208
117,1572
832,1517
3311,3847
3748,3848
829,1219
889,1270
2508,2934
1453,3298
3401,3740
1469,3831
2183,3174
1188,2091
472,1921
565,2866
2471,3052
2908,3807
1791,3293
543,4016
285,3226
125,1813
560,987
1002,2086
2184,2995
2707,2770
399,3513
707,1414
309,587
3266,3673
742,3852
2521,2765
2612,2883
1144,1388
1765,3950
146,3040
1448,1799
1489,2554
419,1886
1205,2795
1616,3827
54,3451
2101,3118
1207,2841
2201,3699
2227,2668
816,1707
141,2292
1820,4007
1075,3853
297,2805
16,1065
1416,3365
387,2698
325,1820
1939,3140
540,3694
2739,3001
2340,3484
3220,3274
1040,4017
627,2158
3079,3823
1554,1794
1149,3960
870,2293
467,1122
804,3925
1086,2857
86,1430
979,2236
2140,2268
2697,3879
835,2457
2098,2796
200,1717
1571,3279
2352,3844
3092,3654
1763,3449
1391,3843
47,2606
821,2000
542,2585
573,1898
1753,1980
1906,2976
794,2806
1721,3196
1926,3628
971,1944
2101,2663
1908,3022
473,1667
2892,3192
2933,3193
2145,2211
314,856
97,2319
785,1939
217,3175
1363,1421
958,3587
125,3586
1646,3961
1672,2930
428,1143
2453,3495
1453,3566
1422,2001
2260,3100
1640,3392
203,1964
3780,4004
306,2843
1729,2683
1166,1257
949,3474
233,3304
3590,3880
2504,2679
286,686
1600,3212
141,3715
3589,3655
397,2180
1479,2885
923,1472
68,2678
568,3001
598,2089
161,2088
1312,1432
1864,1945
931,3992
504,2427
1310,3988
1988,2920
157,1565
2610,2674
3205,4015
958,2782
454,1559
1636,2468
338,3828
1823,2294
83,2555
2080,2859
700,1211
920,3429
675,3598
1907,3870
878,3957
1545,2700
3214,3727
1975,2284
170,2150
607,2151
1930,2541
443,3248
594,1165
1349,2761
105,220
2926,3445
2520,2757
3012,3219
105,3603
1647,2603
2048,3701
1712,3752
2092,3219
957,2156
2144,3409
3016,3338
347,3136
717,2669
376,2376
1706,3183
345,811
240,2515
993,1032
1516,3059
86,2048
831,2956
1359,3075
617,1684
108,117
1916,3932
2848,3912
1767,3809
2538,3686
2194,3122
2972,3389
314,1124
76,1710
1201,2085
1352,2254
786,3563
5,2998
109,3321
2838,3574
1193,1443
3218,3795
754,4025
1127,3075
2679,2763
1280,3317
1213,2095
1470,3414
3027,3446
1623,3656
1217,2968
623,2229
1022,1746
179,1057
1423,2844
834,2449
1429,3790
2451,3286
3729,3903
2297,2819
2008,2716
213,3270
244,2583
1955,2301
2067,3296
1759,3143
976,1751
2256,3195
2538,2881
3071,3344
2386,2487
827,1628
2938,3000
918,1746
2688,2825
544,3225
2161,3308
3437,3852
1191,3975
721,828
2247,2301
98,1603
2121,3128
476,997
2952,3056
254,2116
1658,1906
1085,2044
283,602
1496,1578
1860,2040
2326,3533
956,3327
765,3759
873,1572
28,3466
2070,2789
1731,3323
856,2342
460,2342
491,1655
88,484
575,602
1641,3780
3253,3519
1068,3918
2467,3364
1630,2867
2070,3139
2567,3945
807,2830
189,3949
218,2435
1410,4032
3301,3940
1145,2071
2767,3252
2025,2615
934,1070
1113,3287
553,1378
496,844
1277,1409
959,2820
1898,3971
243,1152
740,1204
313,1891
1977,2574
738,1131
922,2938
3260,3535
545,736
85,3195
